,host,count
144,192.207.105.58,1
145,nara110.infosphere.or.jp,1
146,cdrommag.demon.co.uk,1
147,161.119.239.163,1
148,130.226.228.6,1
149,132.229.50.2,1
150,137.82.38.175,1
151,167.205.241.30,1
152,mpennin-sl.cc.emory.edu,1
153,146.186.165.157,1
154,128.163.36.114,1
155,157.92.49.106,1
156,139.169.205.93,1
157,epid01.uthscsa.edu,1
158,mscf.med.upenn.edu,1
159,ts3-31.slip.uwo.ca,1
160,ip204.herndon2.va.interramp.com,1
161,cannon.dgsys.com,1
162,slmel1p10.ozemail.com.au,1
163,193.130.125.67,1
164,129.193.133.51,1
165,198.182.245.2,1
166,ws9350ad9c.dhs.texas.gov,1
167,restless.demon.co.uk,1
168,slbri1p04.ozemail.com.au,1
169,pc54.ben-fh.tuwien.ac.at,1
170,ezod024.ds.ulcc.ac.uk,1
171,198.190.213.172,1
172,cust35.max5.boston.ma.ms.uu.net,1
173,132.183.35.17,1
174,mplpc03690.nneco.nu.com,1
175,ctc.ctc.edu,1
176,nareyes.interlog.com,1
177,bruce_drake.cybernetics.net,1
178,wkstn15.lut.ac.uk,1
179,128.154.1.21,1
180,204.31.126.59,1
181,pc13-83.itcilo.it,1
182,144.26.17.38,1
183,204.193.157.193,1
184,ix-nyc9-21.ix.netcom.com,1
185,204.247.89.10,1
186,ppp-hck-2-2.ios.com,1
187,dwooley.ess.harris.com,1
188,131.178.38.99,1
189,199.170.121.118,1
190,ipswitch4.cdev.com,1
191,pm3.r5pmd.epa.gov,1
192,dial3.phoenix.net,1
193,137.189.97.83,1
194,141.212.96.89,1
195,ix-wil-del1-19.ix.netcom.com,1
196,as1c-p09.mts.net,1
197,dyn1-020.cc.umanitoba.ca,1
198,grail603.nando.net,1
199,engcoop1.sat.datapoint.com,1
200,198.53.16.20,1
201,default76.usa.cerfnet.com,1
202,142.227.56.60,1
203,sdspm06.bbsnet.com,1
204,kaiwan103.kaiwan.com,1
205,131.158.23.120,1
206,postmaster.omni.com.sg,1
207,147.46.7.128,1
208,192.115.152.51,1
209,fsturms.jpl.nasa.gov,1
210,br11-8.niia.net,1
211,dd.comsol.be,1
212,train15mac.nswc.navy.mil,1
213,198.110.216.104,1
214,stevenson31.sonoma.edu,1
215,marinara.mit.edu,1
216,kendall.sccsi.com,1
217,ohm.iti.gov.sg,1
218,153.77.161.128,1
219,ix-bos7-13.ix.netcom.com,1
220,22pc116.npt.nuwc.navy.mil,1
221,pm014-02.dialip.mich.net,1
222,137.82.34.57,1
223,198.64.200.38,1
224,159.148.174.14,1
225,142.106.162.149,1
226,202.244.231.36,1
227,199.171.22.106,1
228,dd22-052.compuserve.com,1
229,aps-3-01.ujf-grenoble.fr,1
230,dialup058.lava.net,1
231,port17.simi.rain.org,1
232,heimbach.ac.sil.org,1
233,162.79.105.83,1
234,ac040.pool.dircon.co.uk,1
235,204.248.88.34,1
236,volna31.vol.it,1
237,139.169.182.172,1
238,ix-mvo-ca4-01.ix.netcom.com,1
239,128.171.29.57,1
240,morgoth.unibe.ch,1
241,199.174.160.3,1
242,128.197.180.30,1
243,193.71.200.20,1
244,193.44.236.25,1
245,199.174.132.23,1
246,194.93.77.54,1
247,pppcl16.online.ee,1
248,crow.ewd.dreo.dnd.ca,1
249,141.31.25.42,1
250,pern.iii.net,1
251,ai146.du.pipex.com,1
252,owl.ins.cwru.edu,1
253,199.182.236.34,1
254,204.94.237.29,1
255,161.111.30.117,1
256,137.82.222.221,1
257,202.49.243.63,1
258,geosun.geog.susx.ac.uk,1
259,152.3.249.97,1
260,flow.infotech.tu-chemnitz.de,1
261,pc408.qsp.co.uk,1
262,20.8.1.98,1
263,204.57.67.153,1
264,scp052.silsoe.cranfield.ac.uk,1
265,ppp003.po.iijnet.or.jp,1
266,193.61.87.24,1
267,ice.englib.cornell.edu,1
268,ppp-103.magg.net,1
269,140.90.123.73,1
270,wage.cyberspace.com,1
271,sbd0113.deltanet.com,1
272,203.67.36.68,1
273,s1-255.ties.k12.mn.us,1
274,rm003bca.brookes.ac.uk,1
275,gharib.demon.co.uk,1
276,slip6-222.fl.us.ibm.net,1
277,rop29.mhs.mendocino.k12.ca.us,1
278,131.251.45.64,1
279,ix-kc6-18.ix.netcom.com,1
280,156.23.146.150,1
281,mcintyre.ibd.nrc.ca,1
282,rigel.am.ub.es,1
283,205.164.211.22,1
284,ppp-wpb-135.shadow.net,1
285,fish.tdg.ruhr-uni-bochum.de,1
286,albert.scictr.cornell.edu,1
287,axle.adp.wisc.edu,1
288,140.90.23.106,1
289,194.9.33.82,1
290,137.24.55.177,1
291,stingray-22.netrunner.net,1
292,ndts7.pt15.ndsu.nodak.edu,1
293,cat30.slis.uwo.ca,1
294,nb1ppp8.dukepower.com,1
295,128.174.103.61,1
296,paul.hip.cam.org,1
297,njordport8.iaccess.com.au,1
298,132.194.10.9,1
299,204.214.97.43,1
300,lmt.wustl.edu,1
301,ruaedg84.hort.cri.nz,1
302,ppp-b7.ulaval.ca,1
303,dyn12.slip.technet.sg,1
304,m33-222-2.mit.edu,1
305,bbye.helix.net,1
306,mafpen.dialup.francenet.fr,1
307,aurora.northernlights.lib.mn.us,1
308,pcjcl.msfc.nasa.gov,1
309,144.163.46.21,1
310,mc8355.co.marin.ca.us,1
311,128.96.93.188,1
312,194.166.8.32,1
313,dial187127.wbm.ca,1
314,rio.bri.nrc.ca,1
315,hhf.phy.nist.gov,1
316,sudial-147.syr.edu,1
317,150.147.152.16,1
318,telsa.whoi.edu,1
319,ppp-09-uf-cs1.nerdc.ufl.edu,1
320,ppp179.st.rim.or.jp,1
321,uller.nikhef.nl,1
322,128.32.154.24,1
323,dyna-52.bart.nl,1
324,134.32.138.57,1
325,dialup-1-9.gw.umn.edu,1
326,mac04.royall.umkc.edu,1
327,six31.remote.mun.ca,1
328,192.133.252.115,1
329,ix-hou9-29.ix.netcom.com,1
330,tyacke.arch.wsu.edu,1
331,zenon.airtime.co.uk,1
332,cafe05.babel.dk,1
333,ai124.du.pipex.com,1
334,kruger.physics.umkc.edu,1
335,165.13.117.111,1
336,205.160.233.122,1
337,cate0-32.reshall.uoknor.edu,1
338,g5.firga.sun.ac.za,1
339,206.42.178.38,1
340,annex1s7.urc.tue.nl,1
341,139.169.174.17,1
342,139.169.5.167,1
343,mega211.megamed.com,1
344,138.249.2.85,1
345,147.226.112.101,1
346,140.142.199.104,1
347,stonesoup.physics.lsa.umich.edu,1
348,nl.cs.cmu.edu,1
349,iue.gsfc.nasa.gov,1
350,sidekick.arc.ab.ca,1
351,scfb30.ioi.tue.nl,1
352,ppp187.iadfw.net,1
353,193.78.240.178,1
354,tisdasb.duc.auburn.edu,1
355,slip132-90.dc.us.ibm.net,1
356,trainer.neai.com,1
357,pc73.lab_c_g096.ulst.ac.uk,1
358,dkobe.hammers.com,1
359,w-dyna114.net.interaccess.com,1
360,mking.eng.gulfaero.com,1
361,piglet.csusm.edu,1
362,199.104.85.25,1
363,ottawa-ts-48.nstn.ca,1
364,160.107.216.248,1
365,128.158.46.66,1
366,204.27.66.251,1
367,kip-1-16.valley.net,1
368,194.166.5.29,1
369,henins.lanl.gov,1
370,tchm04a10.rmt.utk.edu,1
371,charlesw.iadb.org,1
372,204.239.197.167,1
373,rphibm8.physik.uni-regensburg.de,1
374,berne.far.cea.fr,1
375,ppp3.culture.gr,1
376,isr1011.urh.uiuc.edu,1
377,202.238.63.47,1
378,cs125-8.u.washington.edu,1
379,kingpin.com,1
380,jreffner.async.csuohio.edu,1
381,204.170.30.11,1
382,138.26.154.149,1
383,purple.widomaker.com,1
384,meera.port.net,1
385,crt.traverse.com,1
386,130.182.171.122,1
387,rwhite-pc.sfrd.ida.org,1
388,wcti-18.coastalnet.com,1
389,thunder.fred.net,1
390,140.150.91.150,1
391,nealbob.tiac.net,1
392,199.18.201.2,1
393,swrl-dyn-108-106.calstate.edu,1
394,arl23.jones.edu,1
395,taramines.internet-eireann.ie,1
396,m115.psyc.cf.ac.uk,1
397,darrellpc.jsb.co.uk,1
398,thimble-d220.sierra.net,1
399,sarah.phys.vims.edu,1
400,166.150.129.10,1
401,grail501.nando.net,1
402,134.71.170.43,1
403,bmc4.tamu.edu,1
404,stanton-1-1.cloverleaf.com,1
405,cplmac.larc.nasa.gov,1
406,box35.labs.cis.pitt.edu,1
407,144.125.87.219,1
408,ppp-rsc.ulaval.ca,1
409,134.99.200.37,1
410,baglanit.demon.co.uk,1
411,192.204.120.1,1
412,130.134.33.22,1
413,168.150.253.35,1
414,minerva.nrtc.northrop.com,1
415,s109n225.csun.edu,1
416,tardis.qgraph.com,1
417,pm047-27.dialip.mich.net,1
418,142.22.48.136,1
419,cagney.airtime.co.uk,1
420,192.207.39.197,1
421,mizzou1.missouri.edu,1
422,192.115.181.109,1
423,128.111.224.121,1
424,disun40.epfl.ch,1
425,134.68.45.56,1
426,204.249.225.71,1
427,161.200.117.85,1
428,crelbourne.chinalake.navy.mil,1
429,aludra.usc.edu,1
430,lshaner.amgen.com,1
431,ntcs-ip17.uchicago.edu,1
432,202.245.247.11,1
433,194.17.254.111,1
434,134.20.180.138,1
435,slip60.ucs.orst.edu,1
436,199.217.153.90,1
437,192.215.71.85,1
438,path090.path.ox.ac.uk,1
439,sd-slip-15.nu.edu,1
440,204.92.54.10,1
441,ppp06.elmshorn.netsurf.de,1
442,ruger-16.slip.uiuc.edu,1
443,cust30.max1.seattle.wa.ms.uu.net,1
444,dora.iis.u-tokyo.ac.jp,1
445,128.255.56.5,1
446,198.30.232.13,1
447,sseb2.larc.nasa.gov,1
448,ad07-078.compuserve.com,1
449,gtrowbri.pb.cmi.com,1
450,ow006.out.trw.com,1
451,linric.tiac.net,1
452,156.40.18.83,1
453,slip-1-46.ots.utexas.edu,1
454,mac5.anthro.nau.edu,1
455,snout.seanet.com,1
456,user1.digikey.com,1
457,156.23.139.121,1
458,rkhost.demon.co.uk,1
459,132.250.151.103,1
460,198.69.193.130,1
461,annex3-nhm-4.its.utas.edu.au,1
462,xtreme.acc.iit.edu,1
463,198.70.240.25,1
464,blv-pm1-ip16.halcyon.com,1
465,128.184.12.3,1
466,01-dynamic-c.rotterdam.luna.net,1
467,lib10.temp.ox.ac.uk,1
468,198.70.204.34,1
469,carpeta.uctbel.udg.mx,1
470,sd-stengerdj-1.jsc.nasa.gov,1
471,rcmaca.upr.clu.edu,1
472,ix-mol-il1-03.ix.netcom.com,1
473,158.147.155.25,1
474,newton.ctsn.dga.fr,1
475,geri.oanet.com,1
476,206.20.129.7,1
477,204.248.185.206,1
478,161.187.159.10,1
479,hnlv4.verifone.com,1
480,205.166.158.102,1
481,fwells.iquest.com,1
482,as3a-p08.mts.net,1
483,room439.ysu.edu,1
484,dyna-03.bart.nl,1
485,204.191.59.81,1
486,ix-ftw-tx1-18.ix.netcom.com,1
487,ssl.netkonect.co.uk,1
488,198.147.175.191,1
489,dialup12.sdsmt.edu,1
490,194.72.68.117,1
491,mryan.times.net,1
492,204.185.50.37,1
493,136.224.1.1,1
494,lpm1-18.atlcom.net,1
495,dewey.jsc.nasa.gov,1
496,199.183.209.39,1
497,139.169.40.31,1
498,hp715.cuug.ab.ca,1
499,cola45.scsn.net,1
500,132.205.9.56,1
501,202.255.181.35,1
502,ciscots1-7.csusm.edu,1
503,cateyes.ucsc.edu,1
504,128.159.76.16,1
505,chi019.wwa.com,1
506,leonardo.acf.nyu.edu,1
507,sas338a.usc.edu,1
508,tsn2-2.everyday.no,1
509,wbpc20.wb.psu.edu,1
510,apwk02g1.nws.noaa.gov,1
511,snake.irf.se,1
512,erde03.ecouncil.ac.cr,1
513,robin.ins.cwru.edu,1
514,ppp-oneida-5.netnet.net,1
515,nds-jmg-mac.jhuapl.edu,1
516,128.96.106.158,1
517,alhoward1.scsa.scsnet.com,1
518,ip222.phx.primenet.com,1
519,port18.vitinc.com,1
520,ad16-004.compuserve.com,1
521,izum14.izum.si,1
522,pck334-3.feld.cvut.cz,1
523,196.22.72.146,1
524,alpha1.f1mi.dbag.str.daimler-benz.com,1
525,147.226.97.34,1
526,199.183.195.51,1
527,129.217.223.3,1
528,j_blackburn.tgslc.org.16.213.198.in-addr.arpa,1
529,ix-det1-08.ix.netcom.com,1
530,magi02p43.magi.com,1
531,slip-dial0691.acc.uwrf.edu,1
532,192.72.181.138,1
533,159.245.98.111,1
534,namaste.cc.columbia.edu,1
535,aula-i01.tlc.upv.es,1
536,ppp23.cowan.edu.au,1
537,138.60.31.70,1
538,introspect.engin.umich.edu,1
539,205.211.4.134,1
540,ppp062.po.iijnet.or.jp,1
541,maxvision.com,1
542,198.209.131.109,1
543,tiptop-slip-6440.rutgers.edu,1
544,raptor.csc.flint.umich.edu,1
545,flattop.promedia.net,1
546,citlali.inaoep.mx,1
547,walrus.mvhs.edu,1
548,128.160.4.85,1
549,wph.eng.ornl.gov,1
550,jditner.wat.hookup.net,1
551,130.45.17.49,1
552,129.94.244.44,1
553,hht02.chem.unc.edu,1
554,194.66.176.150,1
555,gigue.peabody.jhu.edu,1
556,139.86.144.59,1
557,pme212.aim.awinc.com,1
558,148.241.155.222,1
559,chisp10.slip.net,1
560,139.169.61.225,1
561,198.163.240.112,1
562,147.51.55.2,1
563,slp08022.slip.utwente.nl,1
564,apache.utdallas.edu,1
565,199.10.93.158,1
566,192.83.62.22,1
567,lei52.pi.net,1
568,iphome19.glo.be,1
569,bear.ras.ucalgary.ca,1
570,200.246.230.73,1
571,193.13.5.19,1
572,roger_courtney_home.birdville.k12.tx.us,1
573,dialin9.annex1.radix.net,1
574,204.120.68.87,1
575,152.2.124.6,1
576,194.20.144.46,1
577,marvin.box.nl,1
578,204.183.116.33,1
579,dialup29.nmia.com,1
580,ix-ela-mi1-21.ix.netcom.com,1
581,mnu157.fss-moses.lockheed.com,1
582,ts6-40.upenn.edu,1
583,pme203.aim.awinc.com,1
584,162.48.155.40,1
585,141.209.3.135,1
586,b5.matpr.kth.se,1
587,204.129.128.53,1
588,spin.ohsu.edu,1
589,nblazer-22.weizmann.ac.il,1
590,thccy13.oz.nthu.edu.tw,1
591,dd12-037.compuserve.com,1
592,dialin23.stdrem.okstate.edu,1
593,slip075.fortnet.org,1
594,dialup004.denhaag.dataweb.nl,1
595,198.4.94.141,1
596,dmkent.b15.ingr.com,1
597,145.12.29.23,1
598,130.60.228.182,1
599,204.252.240.72,1
600,wyndmoor1-19.slip.netaxs.com,1
601,sc145.frontiertech.com,1
602,128.236.22.181,1
603,s6.phxslip3.indirect.com,1
604,node-058-068.712.nebo.edu,1
605,193.2.126.224,1
606,ix-la21-14.ix.netcom.com,1
607,cyprus.cc.ece.ntua.gr,1
608,egm005.jsc.nasa.gov,1
609,slip109.consulan.com,1
610,a2p03.capcon.net,1
611,holzwarc.flight.wpafb.af.mil,1
612,gen.justine.umontreal.ca,1
613,tetc1.informix.com,1
614,dla303f17.dav.fau.edu,1
615,ip224.phx.primenet.com,1
616,ip196.callnet.com,1
617,michelle.magnet.mt,1
618,s23775.cle.ab.com,1
619,133.48.94.9,1
620,ip16-002.phx.primenet.com,1
621,131.158.58.12,1
622,tnpc20.science.unitn.it,1
623,ppp49.igc.org,1
624,smartcad2.me.wisc.edu,1
625,198.69.201.50,1
626,204.176.204.39,1
627,199.236.200.29,1
628,login.ieunet.ie,1
629,slip176.centcon.com,1
630,199.1.91.57,1
631,ix-gra1-07.ix.netcom.com,1
632,ppp231.gol.com,1
633,152.52.29.44,1
634,wp412.wl.aecl.ca,1
635,199.227.4.26,1
636,b.loomis.garlic.com,1
637,192.73.56.186,1
638,ri004321.rdyne.rockwell.com,1
639,129.187.151.41,1
640,141.84.33.31,1
641,ip232.washington.dc.interramp.com,1
642,zeus.msfc.nasa.gov,1
643,150.69.38.188,1
644,206.16.18.13,1
645,sparky.cs.nyu.edu,1
646,ix-atl8-07.ix.netcom.com,1
647,slip37-82.il.us.ibm.net,1
648,199.84.138.208,1
649,199.174.149.35,1
650,203.10.89.1,1
651,ad15-041.compuserve.com,1
652,ts04-ind-24.iquest.net,1
653,spade04.kinotrope.co.jp,1
654,138.87.12.164,1
655,192.148.226.77,1
656,isbe-node168.isbe.state.il.us,1
657,167.95.225.136,1
658,saphir.ulaval.ca,1
659,grapool21.rz.uni-frankfurt.de,1
660,194.51.32.4,1
661,pc002.atiaustin.com,1
662,140.110.223.14,1
663,129.162.50.27,1
664,147.103.16.176,1
665,192.197.250.104,1
666,cicdg2-cs-6.dial.cic.net,1
667,139.88.100.23,1
668,ws424f.mecon.ar,1
669,198.6.250.32,1
670,spark18.ecf.toronto.edu,1
671,inter.interserve.com.hk,1
672,mgal.powernet.co.uk,1
673,131.182.110.114,1
674,134.243.201.84,1
675,slip37-133.il.us.ibm.net,1
676,141.211.56.35,1
677,199.174.143.28,1
678,tty27.com3.houston.net,1
679,slip1139.rmii.com,1
680,150.216.195.115,1
681,jpunix.com,1
682,ip-salem2-21.teleport.com,1
683,pcgym.demon.co.uk,1
684,193.48.184.16,1
685,203.63.10.22,1
686,204.96.6.112,1
687,ix-la11-06.ix.netcom.com,1
688,198.187.38.45,1
689,mumr2.mid.muohio.edu,1
690,comserv-e-29.usc.edu,1
691,192.133.124.54,1
692,rp171.urz.tu-dresden.de,1
693,164.67.17.103,1
694,204.254.232.30,1
695,ppp_home01.wehi.edu.au,1
696,156.26.32.147,1
697,sandrews.remote.ualberta.ca,1
698,vny0140.deltanet.com,1
699,128.251.87.180,1
700,engrol06.eng.umd.edu,1
701,205.173.253.35,1
702,pm0p11.iohk.com,1
703,digger.lbl.gov,1
704,204.250.21.33,1
705,204.31.248.35,1
706,193.40.145.13,1
707,smf-a16.facsmf.utexas.edu,1
708,h-touchstone.nr.infi.net,1
709,cap-ferrat.ee.duke.edu,1
710,148.246.247.89,1
711,132.178.51.93,1
712,163.205.11.14,1
713,dyna-36.bart.nl,1
714,jmtubbs.ico.com,1
715,tmonk.eecs.berkeley.edu,1
716,158.64.4.27,1
717,ix-ric-va1-09.ix.netcom.com,1
718,ip012.phx.primenet.com,1
719,132.177.129.149,1
720,205.184.18.117,1
721,claudineb.fastech.com,1
722,van12350.direct.ca,1
723,144.96.224.6,1
724,nova.lapres.com,1
725,daystar.remote.ualberta.ca,1
726,ip-pdx4-50.teleport.com,1
727,204.181.152.4,1
728,solb2.central.susx.ac.uk,1
729,140.150.83.64,1
730,128.158.50.84,1
731,tty10b.mdn.com,1
732,msmith.rbvdnr.com,1
733,pca12.csubak.edu,1
734,s202.campus_ctr_admin.haverford.edu,1
735,153.104.16.222,1
736,dial-19.win.net,1
737,132.201.5.202,1
738,198.17.175.56,1
739,17.127.19.190,1
740,204.186.16.6,1
741,204.19.177.28,1
742,lc520.physics.saga-u.ac.jp,1
743,hqnickpc.36.81.194.in-addr.arpa,1
744,rhrz-ts1-p7.rhrz.uni-bonn.de,1
745,138.44.21.111,1
746,camlink.tiac.net,1
747,204.198.156.3,1
748,130.206.70.212,1
749,cakabey.ege.edu.tr,1
750,c341088.earthlink.net,1
751,202.241.5.1,1
752,dip117-1.hamburg.netsurf.de,1
753,198.189.127.18,1
754,193.170.74.140,1
755,jhsuter.reston.ingr.com,1
756,130.157.63.41,1
757,141.40.116.101,1
758,147.110.72.250,1
759,138.13.98.189,1
760,155.178.242.16,1
761,ecepc46.ece.jcu.edu.au,1
762,laplace.ee.latrobe.edu.au,1
763,cosmo.mnfep.nn.inri.com,1
764,131.183.19.3,1
765,kuamp2.kuamp.kyoto-u.ac.jp,1
766,hu34_30.edv.agrar.tu-muenchen.de,1
767,dip097.pixi.com,1
768,balaw.tiac.net,1
769,132.250.89.146,1
770,hosts-135.hiwaay.net,1
771,aitkens.ott.hookup.net,1
772,204.101.117.14,1
773,131.90.201.229,1
774,ts1-14.sta.net.cn,1
775,lucky.convex.com,1
776,jtw-slip.cs.unc.edu,1
777,132.213.3.146,1
778,193.2.31.110,1
779,lecp10.eng.miami.edu,1
780,jwyman.pdial.interpath.net,1
781,nesbitt.digex.net,1
782,ppp-b11.ulaval.ca,1
783,204.249.164.128,1
784,hoffa.gi.alaska.edu,1
785,130.206.54.131,1
786,159.142.161.179,1
787,199.171.21.216,1
788,good31.goodnet.com,1
789,204.182.67.30,1
790,kriek.blarg.com,1
791,asyn05.route1.ivg.com,1
792,170.55.10.107,1
793,130.151.175.237,1
794,129.130.249.5,1
795,pcaca40.iiasa.ac.at,1
796,la-oig05.larc.nasa.gov,1
797,198.73.119.192,1
798,165.235.52.40,1
799,199.228.143.132,1
800,198.59.109.142,1
801,pc1.fredrikstad-pm2-1.eunet.no,1
802,slip33-211.il.us.ibm.net,1
803,rascal.guilford.edu,1
804,slip6-18.fl.us.ibm.net,1
805,dd19-045.compuserve.com,1
806,sirds.com,1
807,mmedia.nx.cpsc.ucalgary.ca,1
808,gclab083.ins.gu.edu.au,1
809,kiwi.irvine.com,1
810,204.174.30.47,1
811,147.156.142.1,1
812,199.67.57.1,1
813,164.107.158.24,1
814,156.6.31.50,1
815,134.131.160.144,1
816,198.70.147.206,1
817,131.181.57.98,1
818,199.60.118.129,1
819,192.149.240.112,1
820,128.165.62.39,1
821,dstaight.seanet.com,1
822,pc33.wmw.tue.nl,1
823,165.243.3.135,1
824,ix-pa6-04.ix.netcom.com,1
825,homeobox.med.upenn.edu,1
826,n239-si-43.arc.nasa.gov,1
827,jpene_pc.atk.com,1
828,rulprepc10.leidenuniv.nl,1
829,ip114.new-york.ny.interramp.com,1
830,osysf.oscs.montana.edu,1
831,pm079.bby.wis.net,1
832,slip-12-9.ots.utexas.edu,1
833,physik.phy.tu-dresden.de,1
834,192.114.104.107,1
835,gophserv.hrz.uni-siegen.de,1
836,159.148.60.218,1
837,info.itu.ch,1
838,malone.pgd.hawaii.edu,1
839,204.176.127.20,1
840,nitzan_pc.logal.co.il,1
841,labpc18.graceland.edu,1
842,gro23.pi.net,1
843,ppp73.bgsu.edu,1
844,198.146.93.224,1
845,d114.aksi.net,1
846,fox.so.estec.esa.nl,1
847,cello.qnet.com,1
848,204.71.23.5,1
849,204.31.237.37,1
850,steno.geo.unifi.it,1
851,vyger815.nando.net,1
852,141.233.135.128,1
853,137.110.133.249,1
854,137.242.99.10,1
855,hektor.umcs.lublin.pl,1
856,jrobbins.stx.com,1
857,dffl6-36.gate.net,1
858,x2s4p8.dialin.iupui.edu,1
859,tsa-40.ucsc.edu,1
860,celdas.unl.edu.ar,1
861,txx-18.tmc.shu.ac.uk,1
862,startrek.phyres.mcgill.ca,1
863,cs4p3.ipswichcity.qld.gov.au,1
864,131.132.16.159,1
865,132.248.39.200,1
866,bolduc.ireq.hydro.qc.ca,1
867,axdsyc.desy.de,1
868,fac-217.atalk.stolaf.edu,1
869,athena.syrres.com,1
870,ng29.netgate.net,1
871,164.159.176.166,1
872,193.101.242.80,1
873,labp029.lab.uleth.ca,1
874,u133.n104.queensu.ca,1
875,eichleay-80-79.mac.cc.cmu.edu,1
876,ix-grn-sc1-28.ix.netcom.com,1
877,dialup26.antwerp.eunet.be,1
878,vyger705.nando.net,1
879,federation.acs.appstate.edu,1
880,pm002-15.dialip.mich.net,1
881,199.234.182.204,1
882,orion.di.uoa.gr,1
883,lynns-8100.nrl.navy.mil,1
884,129.48.133.167,1
885,s1.ganet.net,1
